User,EnergyConsumption
151.17,1142.71
90.04,405.44
51.55,132.906
66.43,220.664
154.13,1187.92
91.84,421.797
151.17,678.946
90.04,1687.42
51.55,949.874
66.43,522.331
154.13,1324.64
91.84,1708.01
151.17,167.82
90.04,348.774
51.55,574.724
66.43,479.183
154.13,121.357
91.84,352.912
151.17,1960.91
90.04,754.02
51.55,976.548
66.43,1240.43
154.13,998.433
91.84,1361.08
151.17,154.518
90.04,473.77
51.55,1022.78
66.43,476.512
154.13,1205.2
91.84,621.662
151.17,581.644
90.04,466.82
51.55,260.293
66.43,185.131
154.13,731.095
91.84,715.073
151.17,268.071
90.04,16.8546
51.55,1450.11
66.43,633.593
154.13,512.961
91.84,904.557
151.17,1461.23
90.04,163.271
51.55,209.229
66.43,371.153
154.13,184.138
91.84,651.24
151.17,1261.9
90.04,1012.89
51.55,383.18
66.43,1000.42
154.13,515.687
91.84,1088.48
151.17,220.912
90.04,1532.08
51.55,130.242
66.43,98.6604
154.13,1103.33
91.84,949.809
